Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",148.273040,-50.352240,90.000000,bottom
"C2","0.1uF","C_0805_2012Metric",43.865800,-23.012400,0.000000,bottom
"C4","0.1uF","C_0805_2012Metric",81.318100,-24.612600,348.000000,bottom
"C6","0.1uF","C_0805_2012Metric",118.496080,-32.486600,348.000000,bottom
"C8","0.1uF","C_0805_2012Metric",173.728380,-34.495740,12.000000,bottom
"C9","0.1uF","C_0805_2012Metric",152.337040,-68.233840,270.000000,bottom
"C10","0.1uF","C_0805_2012Metric",210.906360,-26.601420,12.000000,bottom
"C11","0.1uF","C_0805_2012Metric",157.975840,-56.549840,0.000000,bottom
"C12","0.1uF","C_0805_2012Metric",248.366280,-20.810220,0.000000,bottom
"C13","0.1uF","C_0805_2012Metric",139.535440,-62.849040,180.000000,bottom
"C15","0.1uF","C_0805_2012Metric",295.661080,-22.926040,0.000000,bottom
"C16","10uF","C_0805_2012Metric",143.040640,-50.352240,90.000000,bottom
"C18","0.1uF","C_0805_2012Metric",49.301400,-42.016680,0.000000,bottom
"C20","0.1uF","C_0805_2012Metric",86.626700,-45.199300,348.000000,bottom
"C22","0.1uF","C_0805_2012Metric",123.913900,-53.101240,348.000000,bottom
"C24","0.1uF","C_0805_2012Metric",187.058300,-51.168300,12.000000,bottom
"C26","0.1uF","C_0805_2012Metric",224.320100,-43.192700,12.000000,bottom
"C28","0.1uF","C_0805_2012Metric",261.683500,-42.037000,0.000000,bottom
"C30","0.1uF","C_0805_2012Metric",304.622200,-42.095420,0.000000,bottom
"C34","0.1uF","C_0805_2012Metric",49.887900,-61.071760,0.000000,bottom
"C36","0.1uF","C_0805_2012Metric",87.330280,-64.838580,348.000000,bottom
"C38","0.1uF","C_0805_2012Metric",124.625027,-72.751343,348.000000,bottom
"C40","0.1uF","C_0805_2012Metric",195.597780,-68.823840,12.000000,bottom
"C42","0.1uF","C_0805_2012Metric",231.572680,-61.899280,10.000000,bottom
"C44","0.1uF","C_0805_2012Metric",271.656420,-61.190620,0.000000,bottom
"C45","0.1uF","C_0805_2012Metric",301.475140,-61.053980,0.000000,bottom
"C48","0.1uF","C_0805_2012Metric",55.370340,-80.238080,0.000000,bottom
"C50","0.1uF","C_0805_2012Metric",92.748100,-85.450680,348.000000,bottom
"C52","0.1uF","C_0805_2012Metric",126.276100,-92.608400,348.000000,bottom
"C54","0.1uF","C_0805_2012Metric",190.284100,-89.408000,12.000000,bottom
"C56","0.1uF","C_0805_2012Metric",227.520500,-81.508600,12.000000,bottom
"C58","0.1uF","C_0805_2012Metric",265.315700,-80.137000,0.000000,bottom
"C60","0.1uF","C_0805_2012Metric",322.077960,-84.995500,0.000000,bottom
"C63","0.1uF","C_0805_2012Metric",38.606340,-99.247440,0.000000,bottom
"C66","0.1uF","C_0805_2012Metric",192.049400,-108.521500,12.000000,bottom
"C67","0.1uF","C_0805_2012Metric",224.876360,-101.564440,12.000000,bottom
"C69","0.1uF","C_0805_2012Metric",276.838020,-99.310940,0.000000,bottom
"C71","0.1uF","C_0805_2012Metric",322.060180,-104.101380,0.000000,bottom
"C72","0.1uF","C_0805_2012Metric",341.191460,-104.119160,0.000000,bottom
"C73","0.1uF","C_0805_2012Metric",352.592640,-12.131040,0.000000,bottom
"C74","0.1uF","C_0805_2012Metric",346.344240,-80.507840,0.000000,bottom
"C75","0.1uF","C_0805_2012Metric",290.697920,-89.128600,0.000000,bottom
"C76","0.1uF","C_0805_2012Metric",237.581440,-89.778840,0.000000,bottom
"C77","0.1uF","C_0805_2012Metric",151.348440,-115.547140,0.000000,bottom
"C78","0.1uF","C_0805_2012Metric",59.540140,-90.769440,0.000000,bottom
"C79","0.1uF","C_0805_2012Metric",7.279640,-13.528040,0.000000,bottom
"D_1","D","D3_SMD_v2",32.664400,-18.656300,90.000000,bottom
"D_2","D","D3_SMD_v2",51.841400,-17.678400,90.000000,bottom
"D_3","D","D3_SMD_v2",70.751700,-17.792700,90.000000,bottom
"D_4","D","D3_SMD_v2",90.266520,-22.268180,78.000000,bottom
"D_5","D","D3_SMD_v2",108.827180,-26.009080,78.000000,bottom
"D_6","D","D3_SMD_v2",127.568960,-29.954220,78.000000,bottom
"D_7","D","D3_SMD_v2",146.372580,-33.248600,78.000000,bottom
"D_8","D","D3_SMD_v2",180.596540,-27.543760,102.000000,bottom
"D_9","D","D3_SMD_v2",199.384920,-24.376380,102.000000,bottom
"D_10","D","D3_SMD_v2",218.203780,-20.980400,102.000000,bottom
"D_11","D","D3_SMD_v2",236.857540,-16.873220,102.000000,bottom
"D_12","D","D3_SMD_v2",256.341880,-17.205960,90.000000,bottom
"D_13","D","D3_SMD_v2",275.234400,-18.793460,90.000000,bottom
"D_15","D","D3_SMD_v2",314.915160,-18.853900,90.000000,bottom
"D_16","D","D3_SMD_v2",316.647440,-18.841660,90.000000,bottom
"D_17","D","D3_SMD_v2",33.319720,-37.498020,90.000000,bottom
"D_18","D","D3_SMD_v2",57.492900,-36.865560,90.000000,bottom
"D_19","D","D3_SMD_v2",76.916280,-39.215060,78.000000,bottom
"D_20","D","D3_SMD_v2",95.633540,-42.618660,78.000000,bottom
"D_21","D","D3_SMD_v2",114.434620,-45.951140,78.000000,bottom
"D_22","D","D3_SMD_v2",133.090920,-49.753520,78.000000,bottom
"D_23","D","D3_SMD_v2",175.158400,-47.536100,102.000000,bottom
"D_24","D","D3_SMD_v2",193.992500,-44.526200,102.000000,bottom
"D_25","D","D3_SMD_v2",212.699600,-40.932100,102.000000,bottom
"D_26","D","D3_SMD_v2",231.343200,-37.198300,102.000000,bottom
"D_27","D","D3_SMD_v2",251.180600,-35.280600,90.000000,bottom
"D_28","D","D3_SMD_v2",269.900400,-36.372800,90.000000,bottom
"D_29","D","D3_SMD_v2",292.352340,-36.948860,90.000000,bottom
"D_30","D","D3_SMD_v2",316.200400,-37.891200,90.000000,bottom
"D_31","D","D3_SMD_v2",339.405840,-18.267160,90.000000,bottom
"D_33","D","D3_SMD_v2",31.065080,-56.181740,90.000000,bottom
"D_34","D","D3_SMD_v2",57.891680,-56.870600,90.000000,bottom
"D_35","D","D3_SMD_v2",77.716380,-58.574940,78.000000,bottom
"D_36","D","D3_SMD_v2",96.580960,-61.592460,78.000000,bottom
"D_37","D","D3_SMD_v2",115.120420,-65.816480,78.000000,bottom
"D_38","D","D3_SMD_v2",133.828263,-69.322828,78.000000,bottom
"D_39","D","D3_SMD_v2",183.819800,-65.671700,102.000000,bottom
